ID,Title,Author,Genre,PublishDateOriginal,PublishDate,Publisher,Format,Illustrator,TotalPages,Rating,Status,MSRP ,SpecialEdition,ISBN
,Diary of a Wimpy Kid #16: Big Shot,Jeff Kinney,Comedy,"October 26th, 2021",2021-10-26,Amulet Books,Hardcover,Jeff Kinney,217,N/A,No,$14.99 ,No,978-1-4197-4915-5
,The Wimpy Kid Movie Diary,Jeff Kinney,Comedy,"March 16th, 2010",2010-03-16,Amulet Books,Paperback,Jeff Kinney,199,3.8/5,Yes,$7.99 ,No,978-0-8109-9684-7
,The Wimpy Kid Movie Diary: The Next Chapter,Jeff Kinney,Comedy,"May 9th, 2017 ",2017-05-09,Amulet Books,Hardcover,Jeff Kinney,199,N/A,No,$16.95 ,No,978-1-4197-2752-8
,Diary of a Wimpy Kid: Special Cheesiest Edition,Jeff Kinney,Comedy,"August 8th, 2017",2017-08-08,Amulet Books,Hardcover,Jeff Kinney,217,N/A,No,$16.95 ,Special Cheesiest Edition,978-1-4197-2945-4
,The Wimpy Kid Do-It-Yourself Book,Jeff Kinney,Comedy,"May 10th, 2011",2011-05-10,Amulet Books,Hardcover,Jeff Kinney,217,4.0/5,Yes,$14.99 ,No,978-1-4197-4190-6
,Diary of a Wimpy Kid (Special Disney+ Cover Edition) ,Jeff Kinney,Comedy,"November 23rd, 2021",2021-11-23,Amulet Books,Hardcover,Jeff Kinney,217,N/A,No,$14.99 ,Special Disney+ Cover Edition,978-1-4197-6110-2
,Rowley Jefferson's Awesome Friendly Spooky Stories,Jeff Kinney,Comedy,"March 16th, 2021",2021-03-16,Amulet Books,Hardcover,Jeff Kinney,217,N/A,No,$14.99 ,No,978-1-4197-5697-9
,Rowley Jefferson's Awesome Friendly Adventure,Jeff Kinney,Comedy,"August 4th, 2020",2020-08-04,Amulet Books,Hardcover,Jeff Kinney,217,N/A,No,$14.99 ,No,978-1-4197-4909-4
,Diary of an Awesome Friendly Kid: Rowley Jefferson's Journal,Jeff Kinney,Comedy,"April 9th, 2019",2019-04-09,Amulet Books,Hardcover,Jeff Kinney,217,N/A,No,$13.99 ,No,978-1-4197-4027-5
,Bluford High Series #1: Lost and Found,Anne Schraff ,Young Adult/Teen Fiction,"September 30th, 2001 ",2001-09-30,Townsend Press,Paperback,N/A,133,N/A,Need To Reread,$4.95 ,No,978-0-944210-02-4
,Bluford High Series #2: A Matter of Trust ,Anne Schraff ,Young Adult/Teen Fiction,"November 30th, 2002",2002-11-30,Townsend Press,Paperback,N/A,125,N/A,Need To Reread,$4.95 ,No,978-0-944210-03-1
,Bluford High Series #3: Secrets in the Shadows,Anne Schraff ,Young Adult/Teen Fiction,"November 30th, 2001",2001-11-30,Townsend Press,Paperback,N/A,126,N/A,Need To Reread,$4.95 ,No,978-0-44210-05-5
,Bluford High Series #4: Someone to Love Me ,Anne Schraff ,Young Adult/Teen Fiction,"January 1st, 2002 ",2002-01-01,Townsend Press,Paperback,N/A,162,N/A,Need To Reread,$4.95 ,No,978-0-944210-06-2
,Bluford High Series #5: The Bully ,Paul Langan,Young Adult/Teen Fiction,"January 6th, 2002",2002-01-06,Townsend Press,Paperback,N/A,190,N/A,Need To Reread,$4.95 ,No,978-0-944210-00-0
,Bluford High Series #6: The Gun,Paul Langan,Young Adult/Teen Fiction,"December 31st, 2002",2002-12-31,Townsend Press,Paperback,N/A,123,N/A,Need To Reread,$4.95 ,No,978-0-944210-04-8
,Bluford High Series #7: Until We Meet Again,Anne Schraff ,Young Adult/Teen Fiction,"December 31st, 2002",2002-12-31,Townsend Press,Paperback,N/A,144,N/A,Need To Reread,$4.95 ,No,978-0-944210-07-9
,Bluford High Series #8: Blood Is Thicker,Paul Langan & D.M. Blackwell,Young Adult/Teen Fiction,"May 31st, 2008",2008-05-31,Townsend Press,Paperback,N/A,156,N/A,Need To Reread,$4.95 ,No,978-1-59194-016-6
,Bluford High Series #9: Brothers in Arms,Paul Langan & Ben Alirez,Young Adult/Teen Fiction,"December 31st, 2004",2004-12-31,Townsend Press,Paperback,N/A,152,N/A,Need To Reread,$4.95 ,No,978-1-59194-017-3
,Bluford High Series #10: Summer of Secrets,Paul Langan,Young Adult/Teen Fiction,"June 1st, 2004",2004-06-01,Townsend Press,Paperback,N/A,142,N/A,Need To Reread,$4.95 ,No,978-1-59194-018-0
,Bluford High Series #11: The Fallen,Paul Langan,Young Adult/Teen Fiction,"June 14th, 2006",2006-06-14,Townsend Press,Paperback,N/A,133,N/A,Need To Reread,$4.95 ,No,978-1-59194-066-1
